Coordinates,Zip_codes
"50.09548533, 8.701921833",60599
"50.101944444444, 8.6183333333333",60326
"50.09011038, 8.652429983",60528
"50.13191977, 8.672799367",60322
"50.118950899999994, 8.669711",60323
"50.10872582, 8.670278917000001",60329
"50.1371884, 8.679786533",60320
"50.13081842, 8.67234375",60322
"50.1622136, 8.6360658",60439
"50.11115027, 8.656289883",60325
"50.107371, 8.681072300000002",60596
"50.100538984375, 8.660426740625",60327
"50.11033937, 8.664313917000001",60329
"50.1083015, 8.6902585",60594
"50.12093778, 8.666297883",60323
"50.11235317, 8.685505467",60311
"50.14050372, 8.679731582999999",60320
"50.12234035, 8.696476417000001",60316
"50.108152399999994, 8.6626316",60329
"50.1206761, 8.6867621",60318
"50.127390399999996, 8.737827900000001",60386
"50.13634152, 8.673748133",60320
"50.11931947, 8.665531167000001",60323
"50.11550437, 8.689962383",60313
"50.11453055, 8.676884800000002",60313
"50.119955600000004, 8.6798547",60318
"50.11272603, 8.674756867000001",60311
"50.114655, 8.6840496",60313
"50.11128433, 8.710493817",60314
"50.1210969, 8.661302883",60323
"50.12398075, 8.714472017",60385
"50.1084508, 8.6814543",60311
"50.1012355, 8.685756383",60594
"50.112762599999996, 8.7550913",63067
"50.1285665, 8.6465442",60487
"50.104798100000004, 8.671263032999999",60329
"50.0987926, 8.571167067000001",65934
"50.13174427, 8.668528967",60320
"49.99105275, 8.412300783",65428
"50.1191067, 8.677909567",60322
"50.08361488, 8.633342467",60528
"50.1118977, 8.676770183",60311
"50.08659487, 8.643493283",60528
"50.1103381, 8.687237199999998",60311
"50.112314700000006, 8.672070399999999",60311
"50.1121946, 8.66656055",60325
"50.09577188, 8.6642837",60528
"50.108357500000004, 8.662872",60329
"50.12248343, 8.688119367",60318
"50.11965667, 8.668964232999999",60323
"50.113948, 8.7192224",60314
"50.10146353, 8.63193505",60326
"50.1154126, 8.6719183",60322
"50.0964506, 8.6597454",60596
"50.11169258, 8.677859667",60311
"50.10668335, 8.6496713",60327
"50.1330078, 8.6785446",60322
"50.12624155, 8.7077692",60385
"50.1138849, 8.719135467000001",60314
"50.1133342, 8.6807114",60313
"50.11369733, 8.676378817",60313
"50.108903000000005, 8.6912436",60594
"50.11010688, 8.681517733",60311
"50.12752357, 8.692605432999999",60389
"50.10790973, 8.70233",60314
"50.11165133, 8.663111",60325
"50.13186017, 8.691856632999999",60318
"50.102908, 8.678494800000001",60596
"50.11337388, 8.690066233",60311
"50.1192614, 8.693380699999999",60316
"50.1127874, 8.6816352",60311
"50.11181452, 8.740650683",63067
"50.0939831, 8.6713774",60596
"50.11722017, 8.6799123",60313
"50.11143628, 8.678112183",60311
"50.114324700000004, 8.681709300000001",60313
"50.109493900000004, 8.660383900000001",60329
"50.12785915, 8.695925783",60389
"50.0907524, 8.6736344",60598
"50.12672073, 8.697594067",60389
"50.1100287, 8.66916115",60329
"50.10612687, 8.674091699999998",60596
"50.1077141, 8.683710000000001",60594
"50.11531603, 8.6748935",60313
"50.10719987, 8.687983599999999",60594
"50.0668049, 8.5285429",65451
"50.1146294, 8.686050467000001",60313
"50.09507968, 8.681987717",60598
"50.11429588, 8.683699800000001",60313
"50.1143424, 8.681636567",60313
"50.12269153, 8.64987145",60487
"50.11344958, 8.755117282999999",63067
"50.1141954, 8.6812599",60313
"50.110592600000004, 8.6752567",60311
"50.11161083, 8.678296467000001",60311
"50.10347555, 8.673496933",60596
"50.10999853, 8.653640517000001",60327
"50.09838948, 8.649102099999999",60327
"50.1131399, 8.672915199999998",60311
"50.107704999999996, 8.6689136",60329
"50.11553938, 8.689806217000001",60313
"50.11102405, 8.67492365",60311
"50.11118672, 8.671630282999999",60311
"50.10478912, 8.669019917",60329
"50.11421462, 8.67723795",60313
"50.10555595, 8.740687567",63067
"50.11566075, 8.692761500000001",60313
"50.1144408, 8.686705900000002",60313
"50.10930968, 8.660163183",60327
"50.10310797, 8.66363365",60329
"50.10365985, 8.680123",60594
"50.12138518, 8.620300933",60489
"50.11216392, 8.656146567",60325
"50.13352982, 8.568080883",65760
"50.103224700000005, 8.673013099999999",60596
"50.11062543, 8.660131932999999",60325
"50.12387405, 8.640930183",60487
"50.1032032, 8.6940869",60594
"50.11208233, 8.672303483",60311
"50.1084705, 8.6815106",60311
"50.11663078, 8.680223917000001",60313
"50.10362502, 8.645303033",60327
"50.112630200000005, 8.6529444",60308
"50.100787200000006, 8.658017082999999",60327
"50.11182972, 8.669220933",60329
"50.10743057, 8.667520032999999",60329
"50.1249564, 8.641060332999999",60487
"50.11051888, 8.6645214",60329
"50.14045327, 8.679615400000001",60320
"50.11400117, 8.674715532999999",60313
"50.1732994, 8.6408438",60439
"50.12120202, 8.707558483",60385
"50.1327847, 8.679316499999999",60322
"50.146952399999996, 8.6608528",60431
"50.07908437, 8.635553317000001",60528
"50.11715543, 8.680347133",60313
"50.11475817, 8.648941867000001",60486
"50.11952407, 8.652092217",60325
"50.11463535, 8.686050383",60313
"50.10563267, 8.66610395",60329
"50.12237802, 8.702674583",60385
